"","X","Date","Open","High","Low","Close","Volume","Market.Cap","CRIPTO"
"1",1,2018-02-20,728.99,738.74,685.04,685.04,"126,208,000","5,754,970,000","Dash"
"2",2,2018-02-19,687.7,731.11,687.22,728.73,"89,328,600","5,427,640,000","Dash"
"3",3,2018-02-18,744.09,747.42,673.57,689.28,"96,752,600","5,871,020,000","Dash"
"4",4,2018-02-17,699.13,748.89,693.64,742.16,"116,106,000","5,515,090,000","Dash"
"5",5,2018-02-16,702.53,722.02,684.28,698.86,"100,343,000","5,540,570,000","Dash"
"6",6,2018-02-15,679.79,705.67,667.21,703.86,"116,822,000","5,359,910,000","Dash"
"7",7,2018-02-14,593.59,685.12,593.59,678.98,"138,992,000","4,679,080,000","Dash"
"8",8,2018-02-13,622.12,625.75,583.4,595.47,"73,287,300","4,902,660,000","Dash"
"9",9,2018-02-12,582.83,626.77,582.83,620.56,"76,646,200","4,591,910,000","Dash"
"10",10,2018-02-11,633.43,633.43,561.91,580.02,"81,111,400","4,989,410,000","Dash"
"11",11,2018-02-10,639.42,672.16,604.84,634.1,"116,397,000","5,035,300,000","Dash"
"12",12,2018-02-09,606.76,638.33,577.45,637.82,"93,581,200","4,776,920,000","Dash"
"13",13,2018-02-08,520.91,609.47,520.91,605,"90,716,700","4,100,000,000","Dash"
"14",14,2018-02-07,524.7,584.48,493.67,521.99,"79,763,600","4,128,770,000","Dash"
"15",15,2018-02-06,454.17,533.55,383.97,528.5,"114,171,000","3,572,920,000","Dash"
"16",16,2018-02-05,545.32,553.6,435.42,451.43,"78,015,400","4,288,890,000","Dash"
"17",17,2018-02-04,637.01,649.37,533.99,549.96,"80,706,600","5,008,820,000","Dash"
"18",18,2018-02-03,589.17,645.85,533.25,637.37,"83,763,700","4,631,430,000","Dash"
"19",19,2018-02-02,616.62,616.62,453.43,586.88,"143,263,000","4,842,830,000","Dash"
"20",20,2018-02-01,698.79,704.55,582.21,617.04,"109,256,000","5,486,820,000","Dash"
"21",21,2018-01-31,678.93,699.31,654.86,697.46,"97,657,100","5,329,560,000","Dash"
"22",22,2018-01-30,767.73,781.68,675.32,676.91,"112,419,000","6,025,040,000","Dash"
"23",23,2018-01-29,811.84,818.31,747.13,767.69,"114,750,000","6,369,620,000","Dash"
"24",24,2018-01-28,777.05,815.91,767.28,812.24,"122,949,000","6,095,130,000","Dash"
"25",25,2018-01-27,782.87,788.67,753.37,773.84,"115,618,000","6,139,280,000","Dash"
"26",26,2018-01-26,793.92,815.83,741.85,782.41,"100,517,000","6,224,310,000","Dash"
"27",27,2018-01-25,788.77,819.09,782.13,795.65,"114,378,000","6,182,430,000","Dash"
"28",28,2018-01-24,757.11,797.54,734.41,775.11,"116,898,000","5,932,760,000","Dash"
"29",29,2018-01-23,763.13,796.99,692.93,757.34,"110,265,000","5,978,460,000","Dash"
"30",30,2018-01-22,825.69,847.58,710.57,763.2,"100,651,000","6,466,930,000","Dash"
"31",31,2018-01-21,928.13,930.18,802.41,818.27,"109,775,000","7,267,440,000","Dash"
"32",32,2018-01-20,853.05,959.04,848.98,926.12,"162,376,000","6,677,870,000","Dash"
"33",33,2018-01-19,833.3,875.4,805.67,846.16,"126,837,000","6,521,630,000","Dash"
"34",34,2018-01-18,800.02,892,760.48,835.49,"172,729,000","6,259,570,000","Dash"
"35",35,2018-01-17,758.29,827.18,619.58,793.57,"197,477,000","5,931,600,000","Dash"
"36",36,2018-01-16,937.57,937.57,644.54,759.62,"273,462,000","7,332,160,000","Dash"
"37",37,2018-01-15,1006.43,1030.9,939.19,939.19,"179,247,000","7,868,670,000","Dash"
"38",38,2018-01-14,1098.06,1110.54,996.49,1014.07,"168,878,000","8,582,900,000","Dash"
"39",39,2018-01-13,1054.88,1125.29,1054.88,1100.26,"174,387,000","8,243,350,000","Dash"
"40",40,2018-01-12,1013.06,1069.42,982.91,1054.87,"142,442,000","7,914,550,000","Dash"
"41",41,2018-01-11,1103.03,1110.68,973.07,1007.88,"176,591,000","8,615,280,000","Dash"
"42",42,2018-01-10,1115.48,1117.33,1041.39,1106.36,"231,944,000","8,710,310,000","Dash"
"43",43,2018-01-09,1085.75,1134.49,1055.21,1111.86,"220,569,000","8,476,040,000","Dash"
"44",44,2018-01-08,1283.36,1320.28,1007.55,1087.75,"215,239,000","10,016,200,000","Dash"
"45",45,2018-01-07,1266.43,1394.28,1266.43,1285.43,"230,576,000","9,881,510,000","Dash"
"46",46,2018-01-06,1157.09,1279.47,1147.49,1265.03,"215,058,000","9,026,110,000","Dash"
"47",47,2018-01-05,1221.63,1273.36,1151.11,1152.41,"237,504,000","9,527,170,000","Dash"
"48",48,2018-01-04,1173.71,1316.86,1097.56,1229.79,"284,845,000","9,151,080,000","Dash"
